               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0095676,           0.0041869,           0.0010708,             0.99814,                   1,               0.995,             0.95943,           0.0068161,           0.0019617,          0.00040793,              0.0955,              0.0005,              0.0005
                   1,           0.0090102,           0.0043563,          0.00077998,             0.99816,                   1,               0.995,             0.96547,           0.0059679,           0.0018641,          0.00039295,              0.0901,           0.0010998,           0.0010998
                   2,           0.0085187,           0.0041866,           0.0013767,             0.99817,                   1,               0.995,             0.97006,           0.0059732,           0.0018376,          0.00038061,            0.084699,           0.0016993,           0.0016993
                   3,            0.010363,            0.004379,            0.001123,             0.99821,                   1,               0.995,             0.97363,           0.0075912,            0.001931,          0.00036612,            0.079299,           0.0022986,           0.0022986
                   4,            0.011564,           0.0052168,           0.0010354,             0.99817,                   1,               0.995,             0.96858,           0.0073378,           0.0018725,          0.00035623,            0.073898,           0.0028977,           0.0028977
                   5,            0.010662,           0.0046437,           0.0015534,             0.99819,                   1,               0.995,             0.98295,           0.0063965,            0.001741,          0.00034458,            0.068497,           0.0034965,           0.0034965
                   6,            0.010793,           0.0046998,           0.0013225,             0.99822,                   1,               0.995,             0.96824,           0.0082592,           0.0018924,          0.00033064,            0.063095,           0.0040951,           0.0040951
                   7,            0.013005,           0.0042514,          0.00061594,             0.99833,                   1,               0.995,             0.96273,           0.0085301,           0.0019596,          0.00031398,            0.057693,           0.0046935,           0.0046935
                   8,             0.01006,           0.0044136,           0.0027922,             0.99825,                   1,               0.995,             0.92686,            0.010306,           0.0021278,          0.00029416,            0.052292,           0.0052916,           0.0052916
                   9,             0.01581,           0.0049015,           0.0023718,             0.99856,                   1,               0.995,             0.94467,           0.0091314,           0.0019058,          0.00029066,            0.046889,           0.0058895,           0.0058895
                  10,            0.015621,           0.0046176,           0.0011733,             0.99842,                   1,               0.995,             0.94354,           0.0064737,           0.0017627,          0.00029513,            0.041487,           0.0064871,           0.0064871
                  11,             0.01226,           0.0042146,          0.00081555,             0.99865,                   1,               0.995,             0.93572,             0.01216,           0.0021587,          0.00029219,            0.036085,           0.0070845,           0.0070845
                  12,            0.017566,            0.005508,           0.0016338,             0.99844,                   1,               0.995,             0.90436,             0.01044,           0.0020488,          0.00030141,            0.030682,           0.0076817,           0.0076817
                  13,            0.015083,           0.0050293,           0.0012914,             0.99837,                   1,               0.995,             0.94865,           0.0080614,           0.0018816,          0.00031509,            0.025279,           0.0082786,           0.0082786
                  14,            0.017518,           0.0050912,          0.00080677,             0.99844,                   1,               0.995,             0.79094,            0.021411,           0.0027161,          0.00032509,            0.019875,           0.0088753,           0.0088753
                  15,            0.016433,           0.0048618,          0.00074747,             0.99854,                   1,               0.995,             0.91418,            0.013902,           0.0024983,          0.00033266,            0.014472,           0.0094718,           0.0094718
                  16,            0.017944,           0.0048711,           0.0010574,             0.99874,                   1,               0.995,              0.9356,             0.01339,           0.0023581,          0.00038733,           0.0099683,           0.0099683,           0.0099683
                  17,            0.013198,           0.0044137,           0.0014537,             0.99873,                   1,               0.995,             0.91545,            0.011559,           0.0024154,          0.00046156,           0.0099683,           0.0099683,           0.0099683
                  18,            0.015473,           0.0050514,           0.0010834,             0.99848,                   1,               0.995,              0.8364,            0.014551,           0.0026249,           0.0004711,           0.0099663,           0.0099663,           0.0099663
                  19,            0.014885,           0.0054479,          0.00084877,             0.99824,                   1,               0.995,             0.90369,            0.013222,            0.002508,          0.00056195,           0.0099644,           0.0099644,           0.0099644
                  20,            0.017766,            0.005223,           0.0019813,             0.99804,                   1,               0.995,             0.84149,            0.012763,           0.0024193,          0.00063621,           0.0099624,           0.0099624,           0.0099624
                  21,            0.012682,           0.0051321,           0.0010621,             0.99825,                   1,               0.995,             0.93535,            0.010225,           0.0023251,          0.00073029,           0.0099604,           0.0099604,           0.0099604
                  22,            0.014719,           0.0047343,           0.0010245,             0.99848,                   1,               0.995,             0.87084,            0.013167,           0.0023144,          0.00075192,           0.0099584,           0.0099584,           0.0099584
                  23,             0.01501,           0.0052027,           0.0015914,             0.99858,                   1,               0.995,             0.83172,            0.019283,           0.0025483,          0.00077084,           0.0099564,           0.0099564,           0.0099564
                  24,            0.018033,           0.0051991,           0.0019927,             0.99858,                   1,               0.995,             0.89691,            0.011895,           0.0023026,          0.00073137,           0.0099545,           0.0099545,           0.0099545
                  25,            0.013956,           0.0058015,           0.0024173,             0.99842,                   1,               0.995,              0.9197,            0.011453,           0.0022385,           0.0006948,           0.0099525,           0.0099525,           0.0099525
                  26,            0.015223,           0.0057804,           0.0020904,             0.99844,                   1,               0.995,             0.91483,            0.012039,           0.0022478,           0.0006669,           0.0099505,           0.0099505,           0.0099505
                  27,            0.014448,           0.0047047,          0.00084499,             0.99831,                   1,               0.995,             0.90089,            0.013065,           0.0023498,          0.00059703,           0.0099485,           0.0099485,           0.0099485
                  28,            0.015192,            0.004916,            0.001405,             0.99791,                   1,               0.995,             0.84742,            0.014249,           0.0023446,          0.00053746,           0.0099465,           0.0099465,           0.0099465
                  29,            0.013736,           0.0049425,           0.0029395,             0.99783,                   1,               0.995,             0.92523,           0.0096529,           0.0022364,          0.00052266,           0.0099446,           0.0099446,           0.0099446
                  30,            0.015314,           0.0057363,            0.001706,             0.99763,                   1,               0.995,              0.9095,            0.014181,           0.0024552,          0.00051565,           0.0099426,           0.0099426,           0.0099426
                  31,            0.014244,           0.0049426,            0.001635,             0.99774,                   1,               0.995,             0.87525,            0.014293,            0.002566,          0.00051963,           0.0099406,           0.0099406,           0.0099406
                  32,            0.017177,           0.0051118,           0.0018082,              0.9979,                   1,               0.995,             0.93086,            0.013398,           0.0024317,          0.00053272,           0.0099386,           0.0099386,           0.0099386
                  33,            0.013644,           0.0046159,           0.0017413,             0.99835,                   1,               0.995,             0.92031,            0.012718,           0.0024496,          0.00054868,           0.0099366,           0.0099366,           0.0099366
                  34,            0.015758,           0.0053318,           0.0018189,             0.99874,                   1,               0.995,             0.88021,            0.011479,           0.0024481,          0.00053622,           0.0099347,           0.0099347,           0.0099347
                  35,            0.013911,           0.0047708,           0.0019587,             0.99864,                   1,               0.995,              0.8693,            0.014856,           0.0025608,          0.00051254,           0.0099327,           0.0099327,           0.0099327
                  36,            0.016727,           0.0049585,           0.0017328,             0.99851,                   1,               0.995,             0.91969,            0.011917,           0.0027916,          0.00049292,           0.0099307,           0.0099307,           0.0099307
                  37,            0.013835,           0.0045532,           0.0028812,             0.99836,                   1,               0.995,             0.93934,            0.012206,            0.002815,          0.00048593,           0.0099287,           0.0099287,           0.0099287
                  38,            0.016304,           0.0052253,           0.0013166,             0.99873,                   1,               0.995,             0.90514,            0.014497,           0.0029252,          0.00050693,           0.0099267,           0.0099267,           0.0099267
                  39,             0.01553,           0.0056663,           0.0013527,             0.99859,                   1,               0.995,             0.93759,            0.010573,           0.0027401,          0.00056237,           0.0099248,           0.0099248,           0.0099248
                  40,             0.01482,            0.005393,           0.0020823,             0.99846,                   1,               0.995,             0.87034,            0.013032,           0.0028609,          0.00060131,           0.0099228,           0.0099228,           0.0099228
                  41,            0.013947,           0.0050091,           0.0026061,             0.99839,                   1,               0.995,             0.91651,            0.010542,           0.0023639,          0.00061291,           0.0099208,           0.0099208,           0.0099208
                  42,            0.014186,           0.0053289,           0.0015473,             0.99827,                   1,               0.995,             0.87729,            0.013931,           0.0024084,          0.00062521,           0.0099188,           0.0099188,           0.0099188
                  43,            0.014258,           0.0048204,           0.0011946,             0.99828,                   1,               0.995,             0.87169,            0.014334,           0.0024615,          0.00064074,           0.0099168,           0.0099168,           0.0099168
                  44,            0.018016,           0.0050254,           0.0013185,             0.99833,                   1,               0.995,             0.83243,            0.014875,           0.0025812,          0.00062545,           0.0099149,           0.0099149,           0.0099149
                  45,             0.01707,           0.0050258,           0.0020545,             0.99835,                   1,               0.995,             0.85281,            0.013859,           0.0023516,           0.0006539,           0.0099129,           0.0099129,           0.0099129
                  46,            0.017257,           0.0056569,           0.0015057,             0.99861,                   1,               0.995,             0.89481,            0.012671,            0.002408,           0.0006316,           0.0099109,           0.0099109,           0.0099109
                  47,            0.014545,           0.0046819,           0.0014007,              0.9987,                   1,               0.995,             0.92531,            0.010171,           0.0022041,          0.00060484,           0.0099089,           0.0099089,           0.0099089
                  48,            0.015195,           0.0051039,           0.0022489,             0.99866,                   1,               0.995,             0.90778,            0.012838,           0.0023456,          0.00058057,           0.0099069,           0.0099069,           0.0099069
                  49,            0.014131,           0.0049752,           0.0018502,             0.99867,                   1,               0.995,             0.93906,            0.011823,           0.0022337,          0.00053323,            0.009905,            0.009905,            0.009905
                  50,            0.016044,           0.0047285,           0.0020463,             0.99856,                   1,               0.995,             0.87792,            0.013231,            0.002465,          0.00052403,            0.009903,            0.009903,            0.009903
                  51,            0.014893,           0.0050883,           0.0022214,             0.99848,                   1,               0.995,             0.91733,            0.010638,           0.0023656,          0.00047083,            0.009901,            0.009901,            0.009901
                  52,            0.014338,            0.004889,           0.0021236,             0.99811,                   1,               0.995,             0.90402,            0.012321,           0.0023154,          0.00045549,            0.009899,            0.009899,            0.009899
                  53,            0.013291,           0.0048473,           0.0015184,             0.99833,                   1,               0.995,              0.8914,            0.012542,           0.0023811,          0.00043658,            0.009897,            0.009897,            0.009897
                  54,            0.016025,           0.0049168,           0.0023007,             0.99794,                   1,               0.995,              0.8903,            0.013684,           0.0025552,          0.00043184,           0.0098951,           0.0098951,           0.0098951
                  55,            0.014279,           0.0049468,           0.0019571,             0.99818,                   1,               0.995,             0.87932,            0.012664,           0.0023964,          0.00038772,           0.0098931,           0.0098931,           0.0098931
                  56,            0.016061,           0.0048147,           0.0008812,             0.99826,                   1,               0.995,             0.87679,             0.01434,           0.0024692,          0.00037626,           0.0098911,           0.0098911,           0.0098911
                  57,            0.014179,           0.0051435,            0.001046,             0.99829,                   1,               0.995,             0.88165,            0.013314,           0.0024319,          0.00035467,           0.0098891,           0.0098891,           0.0098891
                  58,            0.016841,            0.005374,          0.00086892,             0.99823,                   1,               0.995,             0.88715,            0.012043,           0.0022811,          0.00034852,           0.0098871,           0.0098871,           0.0098871
                  59,            0.014988,           0.0055755,          0.00096496,             0.99813,                   1,               0.995,             0.93215,            0.011051,           0.0023299,          0.00033213,           0.0098852,           0.0098852,           0.0098852
                  60,             0.01567,           0.0046972,           0.0014815,             0.99831,                   1,               0.995,             0.88061,            0.014683,           0.0025155,          0.00033441,           0.0098832,           0.0098832,           0.0098832
                  61,            0.015177,           0.0045988,           0.0018444,             0.99829,                   1,               0.995,             0.93821,             0.01032,           0.0021615,          0.00038273,           0.0098812,           0.0098812,           0.0098812
                  62,            0.014675,           0.0050138,           0.0021696,             0.99849,                   1,               0.995,             0.88439,            0.013079,            0.002244,          0.00040828,           0.0098792,           0.0098792,           0.0098792
                  63,            0.014591,           0.0049861,           0.0014771,             0.99861,                   1,               0.995,              0.9476,           0.0097147,           0.0021813,          0.00047191,           0.0098772,           0.0098772,           0.0098772
                  64,            0.014064,           0.0054446,           0.0016884,             0.99838,                   1,               0.995,             0.91063,             0.01062,           0.0022694,          0.00050284,           0.0098753,           0.0098753,           0.0098753
                  65,            0.012352,           0.0047828,           0.0015466,             0.99849,                   1,               0.995,             0.92705,           0.0091127,           0.0021534,          0.00054437,           0.0098733,           0.0098733,           0.0098733
                  66,            0.013335,           0.0044917,           0.0020786,             0.99823,                   1,               0.995,             0.87807,            0.014889,            0.002503,          0.00058411,           0.0098713,           0.0098713,           0.0098713
                  67,            0.014362,           0.0052242,            0.001944,             0.99792,                   1,               0.995,             0.91553,            0.012513,           0.0024188,          0.00061011,           0.0098693,           0.0098693,           0.0098693
                  68,            0.015491,           0.0050069,            0.001014,             0.99781,                   1,               0.995,             0.83996,            0.015102,           0.0024975,           0.0006344,           0.0098673,           0.0098673,           0.0098673
                  69,            0.014343,           0.0048312,            0.001182,             0.99793,                   1,               0.995,             0.93083,           0.0095078,           0.0021674,          0.00064774,           0.0098654,           0.0098654,           0.0098654
                  70,            0.014459,           0.0052867,           0.0017236,             0.99814,                   1,               0.995,             0.88385,             0.01417,           0.0023669,          0.00065031,           0.0098634,           0.0098634,           0.0098634
                  71,            0.014509,           0.0050288,           0.0016026,             0.99853,                   1,               0.995,             0.91606,            0.012185,           0.0022657,          0.00056286,           0.0098614,           0.0098614,           0.0098614
                  72,            0.015523,            0.005229,           0.0020733,             0.99843,                   1,               0.995,             0.89445,            0.011388,           0.0022377,          0.00056225,           0.0098594,           0.0098594,           0.0098594
                  73,            0.013129,           0.0040926,           0.0020752,             0.99859,                   1,               0.995,             0.93059,           0.0099869,           0.0021567,          0.00053301,           0.0098574,           0.0098574,           0.0098574
                  74,            0.015099,           0.0053019,           0.0014181,             0.99857,                   1,               0.995,             0.89929,            0.015624,           0.0024421,          0.00051721,           0.0098555,           0.0098555,           0.0098555
                  75,            0.013971,            0.004885,           0.0017761,             0.99876,                   1,               0.995,             0.91309,            0.011312,            0.002146,          0.00049556,           0.0098535,           0.0098535,           0.0098535
                  76,            0.015811,           0.0055154,           0.0013895,             0.99872,                   1,               0.995,             0.92511,            0.009522,           0.0020351,          0.00048388,           0.0098515,           0.0098515,           0.0098515
                  77,            0.013118,           0.0048203,           0.0013492,             0.99862,                   1,               0.995,             0.90573,            0.011831,           0.0023562,           0.0004684,           0.0098495,           0.0098495,           0.0098495
                  78,            0.016147,           0.0052135,           0.0025512,             0.99842,                   1,               0.995,             0.90407,            0.010427,           0.0021538,          0.00046066,           0.0098475,           0.0098475,           0.0098475
                  79,            0.013288,           0.0047617,          0.00086045,             0.99853,                   1,               0.995,             0.92236,           0.0099051,            0.002209,          0.00044664,           0.0098456,           0.0098456,           0.0098456
